Kolom1,Kolom2,Kolom3,Kolom4
13:29:51,-95.924,0.0,0.0
13:29:51,-127.25,0.0,0.0
13:29:51,-120.92,0.0,0.0
13:29:51,-98.996,0.0,0.0
13:29:51,-140.544,0.0,0.0
13:29:51,-95.322,0.0,0.0
13:29:51,-127.547,0.0,0.0
13:29:51,-121.599,0.0,0.0
13:29:51,-99.936,0.0,0.0
13:29:51,-141.647,0.0,0.0
13:29:51,-96.22,0.0,0.0
13:29:51,-127.784,0.0,0.0
13:29:51,-121.481,0.0,0.0
13:29:51,-99.543,0.0,0.0
13:29:51,-140.881,0.0,0.0
13:29:51,-95.563,0.0,0.0
13:29:51,-127.264,0.0,0.0
13:29:51,-121.291,0.0,0.0
13:29:51,-99.601,0.0,0.0
13:29:51,-141.097,0.0,0.0
13:29:51,-95.801,0.0,0.0
13:29:51,-127.577,0.0,0.0
13:29:51,-121.236,0.0,0.0
13:29:51,-99.392,0.0,0.0
13:29:51,-140.821,0.0,0.0
13:29:51,-94.756,0.0,0.0
13:29:51,-126.749,0.0,0.0
13:29:51,-120.376,0.0,0.0
13:29:51,-98.578,0.0,0.0
13:29:51,-140.213,0.0,0.0
13:29:51,-94.484,0.0,0.0
13:29:51,-126.892,0.0,0.0
13:29:51,-120.38,0.0,0.0
13:29:51,-98.889,0.0,0.0
13:29:51,-140.5,0.0,0.0
13:29:51,-94.996,0.0,0.0
13:29:51,-127.176,0.0,0.0
13:29:51,-120.717,0.0,0.0
13:29:51,-98.961,0.0,0.0
13:29:51,-139.748,0.0,0.0
13:29:51,-94.147,0.0,0.0
13:29:51,-125.932,0.0,0.0
13:29:51,-118.596,0.0,0.0
13:29:51,-96.633,0.0,0.0
13:29:51,-137.92,0.0,0.0
13:29:51,-92.592,0.0,0.0
13:29:51,-125.429,0.0,0.0
13:29:51,-119.229,0.0,0.0
13:29:51,-98.421,0.0,0.0
13:29:51,-140.407,0.0,0.0
13:29:51,-94.616,0.0,0.0
13:29:51,-127.697,0.0,0.0
13:29:51,-120.667,0.0,0.0
13:29:51,-99.364,0.0,0.0
13:29:51,-141.3,0.0,0.0
13:29:51,-96.042,0.0,0.0
13:29:51,-130.518,0.0,0.0
13:29:51,-123.026,0.0,0.0
13:29:51,-98.484,0.0,0.0
13:29:51,-136.182,0.0,0.0
13:29:51,-92.163,0.0,0.0
13:29:51,-128.797,0.0,0.0
13:29:51,-123.244,0.0,0.0
13:29:51,-100.318,0.0,0.0
13:29:51,-140.772,0.0,0.0
13:29:51,-95.049,0.0,0.0
13:29:51,-128.126,0.0,0.0
13:29:51,-121.192,0.0,0.0
13:29:52,-99.763,0.0,0.0
13:29:52,-141.277,0.0,0.0
13:29:52,-94.969,0.0,0.0
13:29:52,-127.801,0.0,0.0
13:29:52,-120.563,0.0,0.0
13:29:52,-99.427,0.0,0.0
13:29:52,-140.858,0.0,0.0
13:29:52,-94.274,0.0,0.0
13:29:52,-127.485,0.0,0.0
13:29:52,-120.445,0.0,0.0
13:29:52,-99.387,0.0,0.0
13:29:52,-140.711,0.0,0.0
13:29:52,-94.906,0.0,0.0
13:29:52,-127.686,0.0,0.0
13:29:52,-120.912,0.0,0.0
13:29:52,-100.011,0.0,0.0
13:29:52,-141.308,0.0,0.0
13:29:52,-95.589,0.0,0.0
13:29:52,-128.382,0.0,0.0
13:29:52,-120.766,0.0,0.0
13:29:52,-99.337,0.0,0.0
13:29:52,-140.549,0.0,0.0
13:29:52,-94.579,0.0,0.0
13:29:52,-127.571,0.0,0.0
13:29:52,-119.877,0.0,0.0
13:29:52,-98.61,0.0,0.0
13:29:52,-139.884,0.0,0.0
13:29:52,-92.767,0.0,0.0
13:29:52,-126.89,0.0,0.0
13:29:52,-118.705,0.0,0.0
13:29:52,-97.797,0.0,0.0
13:29:52,-139.897,0.0,0.0
13:29:52,-92.682,0.0,0.0
13:29:52,-126.848,0.0,0.0
13:29:52,-118.626,0.0,0.0
13:29:52,-97.551,0.0,0.0
13:29:52,-139.331,0.0,0.0
13:29:52,-91.921,0.0,0.0
13:29:52,-126.119,0.0,0.0
13:29:52,-117.869,0.0,0.0
13:29:52,-96.931,0.0,0.0
13:29:52,-138.922,0.0,0.0
13:29:52,-91.756,0.0,0.0
13:29:52,-126.298,0.0,0.0
13:29:52,-118.111,0.0,0.0
13:29:52,-97.22,0.0,0.0
13:29:52,-139.273,0.0,0.0
13:29:52,-91.687,0.0,0.0
13:29:52,-125.952,0.0,0.0
13:29:52,-117.271,0.0,0.0
13:29:52,-96.365,0.0,0.0
13:29:52,-137.442,0.0,0.0
13:29:52,-89.778,0.0,0.0
13:29:52,-124.572,0.0,0.0
13:29:52,-116.381,0.0,0.0
13:29:52,-96.219,0.0,0.0
13:29:52,-139.048,0.0,0.0
13:29:52,-91.949,0.0,0.0
13:29:52,-127.399,0.0,0.0
13:29:52,-118.688,0.0,0.0
13:29:52,-98.253,0.0,0.0
13:29:52,-140.391,0.0,0.0
13:29:52,-92.649,0.0,0.0
13:29:52,-128.281,0.0,0.0
13:29:52,-120.181,0.0,0.0
13:29:52,-100.955,0.0,0.0
13:29:52,-142.981,0.0,0.0
13:29:52,-92.268,0.0,0.0
13:29:52,-123.515,0.0,0.0
13:29:52,-116.001,0.0,0.0
13:29:52,-99.776,0.0,0.0
13:29:52,-144.169,0.0,0.0
13:29:52,-94.234,0.0,0.0
13:29:52,-128.889,0.0,0.0
13:29:52,-119.003,0.0,0.0
13:29:52,-98.906,0.0,0.0
13:29:52,-141.391,0.0,0.0
13:29:52,-92.969,0.0,0.0
13:29:52,-129.069,0.0,0.0
13:29:52,-119.692,0.0,0.0
13:29:52,-99.284,0.0,0.0
13:29:52,-141.589,0.0,0.0
13:29:52,-92.934,0.0,0.0
13:29:52,-129.068,0.0,0.0
13:29:52,-119.36,0.0,0.0
13:29:52,-98.824,0.0,0.0
13:29:52,-140.902,0.0,0.0
13:29:52,-92.424,0.0,0.0
13:29:52,-128.311,0.0,0.0
13:29:52,-118.883,0.0,0.0
13:29:52,-98.64,0.0,0.0
13:29:52,-141.012,0.0,0.0
13:29:52,-92.886,0.0,0.0
13:29:52,-129.178,0.0,0.0
13:29:52,-119.251,0.0,0.0
13:29:52,-98.643,0.0,0.0
13:29:52,-140.898,0.0,0.0
13:29:52,-91.886,0.0,0.0
13:29:52,-128.331,0.0,0.0
13:29:52,-118.169,0.0,0.0
13:29:52,-97.856,0.0,0.0
13:29:52,-140.367,0.0,0.0
13:29:52,-91.289,0.0,0.0
13:29:52,-128.072,0.0,0.0
13:29:52,-118.088,0.0,0.0
13:29:52,-98.048,0.0,0.0
13:29:52,-140.417,0.0,0.0
13:29:52,-91.713,0.0,0.0
13:29:52,-128.19,0.0,0.0
13:29:52,-118.101,0.0,0.0
13:29:52,-97.98,0.0,0.0
13:29:52,-140.248,0.0,0.0
13:29:52,-91.527,0.0,0.0
13:29:52,-128.005,0.0,0.0
13:29:52,-117.836,0.0,0.0
13:29:52,-97.741,0.0,0.0
13:29:52,-139.834,0.0,0.0
13:29:52,-91.037,0.0,0.0
13:29:52,-127.69,0.0,0.0
13:29:52,-117.566,0.0,0.0
13:29:52,-97.719,0.0,0.0
13:29:52,-140.012,0.0,0.0
13:29:52,-90.719,0.0,0.0
13:29:52,-127.159,0.0,0.0
13:29:52,-116.732,0.0,0.0
13:29:53,-96.544,0.0,0.0
13:29:53,-138.055,0.0,0.0
13:29:53,-89.269,0.0,0.0
13:29:53,-126.079,0.0,0.0
13:29:53,-116.372,0.0,0.0
13:29:53,-97.512,0.0,0.0
13:29:53,-140.105,0.0,0.0
