TimeStramp,ECG,SpO2,Respiration
11:19:38,728944.0,0.0,0.0
11:19:39,728939.0,0.0,0.0
11:19:39,729039.0,0.0,0.0
11:19:39,729003.0,0.0,0.0
11:19:39,729080.0,0.0,0.0
11:19:39,729059.0,0.0,0.0
11:19:39,729028.0,0.0,0.0
11:19:39,729101.0,0.0,0.0
11:19:39,729053.0,0.0,0.0
11:19:39,729173.0,0.0,0.0
11:19:39,729137.0,0.0,0.0
11:19:39,729119.0,0.0,0.0
11:19:39,729221.0,0.0,0.0
11:19:39,729173.0,0.0,0.0
11:19:39,729274.0,0.0,0.0
11:19:39,729265.0,0.0,0.0
11:19:39,729269.0,0.0,0.0
11:19:39,729327.0,0.0,0.0
11:19:39,729243.0,0.0,0.0
11:19:39,729384.0,0.0,0.0
11:19:39,729353.0,0.0,0.0
11:19:39,729317.0,0.0,0.0
11:19:39,729426.0,0.0,0.0
11:19:39,729342.0,0.0,0.0
11:19:39,729407.0,0.0,0.0
11:19:39,729404.0,0.0,0.0
11:19:39,729428.0,0.0,0.0
11:19:39,729503.0,0.0,0.0
11:19:39,729442.0,0.0,0.0
11:19:39,729543.0,0.0,0.0
11:19:39,729498.0,0.0,0.0
11:19:39,729477.0,0.0,0.0
11:19:39,729574.0,0.0,0.0
11:19:39,729492.0,0.0,0.0
11:19:39,729570.0,0.0,0.0
11:19:39,729528.0,0.0,0.0
11:19:39,729528.0,0.0,0.0
11:19:39,729594.0,0.0,0.0
11:19:39,729554.0,0.0,0.0
11:19:39,729646.0,0.0,0.0
11:19:39,729626.0,0.0,0.0
11:19:39,729623.0,0.0,0.0
11:19:39,729688.0,0.0,0.0
11:19:39,729628.0,0.0,0.0
11:19:39,729706.0,0.0,0.0
11:19:39,729642.0,0.0,0.0
11:19:39,729700.0,0.0,0.0
11:19:39,729812.0,0.0,0.0
11:19:39,729740.0,0.0,0.0
11:19:39,729826.0,0.0,0.0
11:19:39,729772.0,0.0,0.0
11:19:39,729766.0,0.0,0.0
11:19:39,729879.0,0.0,0.0
11:19:39,729789.0,0.0,0.0
11:19:39,729878.0,0.0,0.0
11:19:39,729886.0,0.0,0.0
11:19:39,729888.0,0.0,0.0
11:19:39,729947.0,0.0,0.0
11:19:39,729890.0,0.0,0.0
11:19:39,730024.0,0.0,0.0
11:19:39,729999.0,0.0,0.0
11:19:39,729918.0,0.0,0.0
11:19:39,730021.0,0.0,0.0
11:19:39,729984.0,0.0,0.0
11:19:39,730058.0,0.0,0.0
11:19:39,730003.0,0.0,0.0
11:19:39,730029.0,0.0,0.0
11:19:39,730096.0,0.0,0.0
11:19:39,730046.0,0.0,0.0
11:19:39,730149.0,0.0,0.0
11:19:39,730088.0,0.0,0.0
11:19:39,730068.0,0.0,0.0
11:19:39,730148.0,0.0,0.0
11:19:39,730104.0,0.0,0.0
11:19:39,730208.0,0.0,0.0
11:19:39,730145.0,0.0,0.0
